"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","verb"
"B_v[2,12]",-2.73759387857113,0.00651301805793957,0.352419723219183,-3.44720268657245,-2.96719617368154,-2.7352074886965,-2.50388114184373,-2.05819356933441,2927.89735237267,1.00094691123202,"know"
"B_v[2,13]",3.16802633464738,0.00669732298933966,0.353507425597826,2.47291486427877,2.93402676993433,3.16665780880733,3.40059667901328,3.86617335520149,2786.08648522612,1.00080283824629,"lie"
"B_v[2,14]",-0.0915941694118741,0.00661703432888458,0.351908171232671,-0.794764668817213,-0.323758078742922,-0.0906544356706481,0.145983129010958,0.592022873653558,2828.34202698764,1.00099175985437,"like"
"B_v[2,15]",-0.504704507153034,0.00650253367423087,0.347179611609843,-1.19789377265204,-0.732708387012921,-0.502651569666683,-0.270733759111186,0.170111198990229,2850.64545627663,1.00120594915016,"love"
"B_v[2,16]",1.84912261190802,0.00648182749610053,0.353166097505872,1.14729212070969,1.61691064422502,1.85061620404744,2.08448032725738,2.54289311775704,2968.67787181713,1.00089119459817,"mislead"
"B_v[2,17]",-1.00431895253771,0.00649891917554163,0.350340946524974,-1.70323589497755,-1.23648308497209,-1.00257793756328,-0.771131500179572,-0.321369368665596,2906.02620525065,1.00085528823063,"notify"
"B_v[2,18]",-1.06700822055839,0.0065189662598056,0.350199852721552,-1.76524895964316,-1.29949180773363,-1.06180576762675,-0.832661609923621,-0.389277206038558,2885.85463798091,1.00108249572863,"persuade"
"B_v[2,19]",-0.000384847660660733,0.00653979747019648,0.351544710001993,-0.704015520973276,-0.228861834247891,0.00210229347356394,0.234026517304978,0.687125015278145,2889.56545301824,1.00074825838927,"regret"
"B_v[2,20]",-2.01522323447633,0.00674880001030726,0.350949420676565,-2.72729850639861,-2.24519326517976,-2.01128434107924,-1.78003080897508,-1.33612419751586,2704.18215317117,1.00089462785658,"remember"
"B_v[2,21]",-0.376073383266195,0.00656844611766743,0.355030653408658,-1.08136930322495,-0.612368684504666,-0.37389975821993,-0.138323438499037,0.311732436894221,2921.50356205746,1.0012732493927,"tell"
"B_v[2,22]",-2.63776770543384,0.00647035647261484,0.348211089925309,-3.33818737146273,-2.86394907516519,-2.63285973411941,-2.40357899819045,-1.96595301274331,2896.20154628633,1.00078813485276,"think"
"B_v[2,23]",1.10122820570331,0.00649696214983764,0.352122729824205,0.400788521149987,0.870914011879598,1.10338369832213,1.33420286932522,1.79866893526999,2937.42946433515,1.0007614388835,"wish"
"B_v[2,24]",-0.00234695743098162,0.00652843846224531,0.351004247625309,-0.708053096955826,-0.230841770690039,-0.0013704628674963,0.23263684927041,0.681821959014976,2890.72058145292,1.00103104658359,"worry"
"B_v[3,1]",-0.32831152341629,0.00219282928527983,0.185914854176611,-0.704622987699216,-0.451568311744127,-0.323861113955616,-0.200175823839014,0.0201718878423065,7188.17324138782,1.0003545367833,"apologize"
"B_v[3,2]",-0.231453124962789,0.0020643979479438,0.176894622165197,-0.579636484069874,-0.350950294453112,-0.231864305929089,-0.111967790154284,0.114705060991597,7342.47408796811,1.0003919736171,"boast"
"B_v[3,3]",-0.600775333663633,0.00207718982558556,0.181031952493092,-0.970283102481316,-0.718613301886077,-0.595004550186837,-0.478784278690825,-0.257672274846887,7595.53024740508,1.00026495124061,"complain"
"B_v[3,4]",-0.477157335141377,0.002041642362205,0.181296978992387,-0.84741836591025,-0.595936449817817,-0.472175359370552,-0.352470394345271,-0.139532943388647,7885.36494873634,1.0001969673856,"congratulate"
"B_v[3,5]",0.160340832533157,0.00207072997145875,0.177769067989204,-0.188113280923275,0.0420639979161675,0.160141406076777,0.279190208273379,0.508423142776821,7369.96545260163,1.00019917042557,"convince"
"B_v[3,6]",0.578901227115706,0.00198886834152509,0.179437085155793,0.234133805136131,0.459044872936491,0.575228652152942,0.696784020786611,0.938697066842202,8139.77390788682,1.00059655838924,"disprove"
"B_v[3,7]",0.278438817535887,0.00196312106456824,0.17800884972751,-0.0780079732250316,0.16109006274013,0.279894750863204,0.398292092717821,0.62381180682481,8222.21864670408,1.00028764526919,"dissuade"
"B_v[3,8]",0.456722828095542,0.00211396566317528,0.185646929747507,0.0955743754669729,0.332889432657989,0.455367075339404,0.58144077052469,0.823248859718236,7712.22488144414,1.00030933003816,"doubt"
"B_v[3,9]",0.0452961394965997,0.00205577044355622,0.177426409600432,-0.298459810534075,-0.0732361143927006,0.0448860686768597,0.162759399335472,0.394115701478303,7448.81679658032,1.00009851823656,"fear"
"B_v[3,10]",-0.508722905911537,0.00207095437402656,0.177590607931615,-0.862567065908121,-0.627244111421375,-0.506003532616736,-0.388903120007907,-0.167028960962065,7353.58177050606,1.00051741157643,"hate"
"B_v[3,11]",0.26520020522649,0.00201156730620633,0.174978085549507,-0.0782973561716989,0.14947528649675,0.264211023297152,0.380177832618963,0.613905384985863,7566.55484272342,1.00008382231069,"hope"
"B_v[3,12]",-0.0491320042890719,0.00209979869936027,0.181349986612442,-0.40196005398873,-0.17157632992141,-0.0505302516661521,0.0713702016512385,0.313706143140797,7458.98495136925,1.00027025412292,"know"
"B_v[3,13]",0.697456923581012,0.00210191699422722,0.186105107251314,0.335999301427646,0.573714324134665,0.694593346300456,0.820866796698912,1.06599374224265,7839.44757323778,1.00015379844325,"lie"
"B_v[3,14]",-0.317485543606578,0.0020690990466787,0.181149177657057,-0.669639690702026,-0.439543121961504,-0.318095577945182,-0.197575918975111,0.0422883662404564,7664.96493619462,1.00021631460285,"like"
"B_v[3,15]",-0.49420777657494,0.00205651928469349,0.177215909824186,-0.846105194214194,-0.612667208920341,-0.492550091927865,-0.374759978284868,-0.151844832525216,7425.74180624619,1.00032035075085,"love"
"B_v[3,16]",0.503409776813733,0.00198293904774089,0.178973768416432,0.156291892977223,0.383018382628552,0.500709978524267,0.621445559336159,0.860560279634004,8146.29316629881,1.00019120601298,"mislead"
"B_v[3,17]",-0.264584232465096,0.00214848745772763,0.182134843412708,-0.617254190508091,-0.387831203671422,-0.265603929339799,-0.143780551774857,0.0948142159316427,7186.54960995807,1.00030107850962,"notify"
"B_v[3,18]",0.0521025130406176,0.0021679215128407,0.179608806456246,-0.307212046720904,-0.0669355023411795,0.0542727888980778,0.172024684086562,0.402176227031514,6863.85568516227,1.00024581689552,"persuade"
"B_v[3,19]",-0.773745217538434,0.00221342098829605,0.190592177706811,-1.15930361759019,-0.898491481108887,-0.76747329981893,-0.641223513366835,-0.41830929415534,7414.50388706005,1.00013895951298,"regret"
"B_v[3,20]",-0.226236362576773,0.00210606093289023,0.176416434265967,-0.575649293519137,-0.34228281773828,-0.223598467401864,-0.10824252238555,0.115866860132806,7016.75342822218,1.00006083300461,"remember"
"B_v[3,21]",-0.195396590436245,0.00221312726915297,0.189720333996191,-0.561103994552533,-0.323670704867033,-0.19720909771405,-0.0676129881062646,0.183522728542763,7348.7755357591,1.00038868914874,"tell"
"B_v[3,22]",0.0942028945194834,0.00209589743809947,0.180108234893762,-0.256388750943665,-0.0272040582416534,0.0935289616131075,0.21374904891425,0.453077488845982,7384.601879537,1.0000533426167,"think"
"B_v[3,23]",0.735937155166404,0.00224579055018173,0.193488708430907,0.364814201101214,0.605561889366892,0.733431748767475,0.863752905107404,1.12622759461833,7422.88532254962,1.0000150838127,"wish"
"B_v[3,24]",0.00300193217044126,0.00208726293068035,0.18086946476212,-0.351462971879713,-0.118169211896427,0.0023950834608225,0.123268637061243,0.356866173688307,7508.897678884,1.00006379824428,"worry"
"B_v[4,1]",0.074068984043783,0.00660135364863616,0.374038337475201,-0.670136129365347,-0.172919910636844,0.0735577781256472,0.322700999915311,0.808340703344245,3210.45241356022,1.00083289070732,"apologize"
"B_v[4,2]",-0.994156850995983,0.00661201465790975,0.372135874731252,-1.7368862582116,-1.24262694291595,-0.989822431031026,-0.745769467255791,-0.263251915981805,3167.63740481661,1.00092046778982,"boast"
"B_v[4,3]",-0.515541834210824,0.00662288869560128,0.373893039929467,-1.26382596833488,-0.759663026834561,-0.516070571054873,-0.267219017719217,0.219792479304769,3187.13051787842,1.00115637064711,"complain"
"B_v[4,4]",-0.708256479345526,0.00661738780310408,0.374389843024649,-1.45541909121154,-0.954827932555203,-0.706292354792606,-0.456608373261044,0.0229315069720058,3200.92090539409,1.00083475957607,"congratulate"
"B_v[4,5]",-2.13943530498208,0.00662375324709652,0.374848395063828,-2.89252128256205,-2.38549025728885,-2.13643957335732,-1.8885369666068,-1.41967747029284,3202.60236933767,1.00066193759618,"convince"
"B_v[4,6]",2.02453567781043,0.00667089202597701,0.374743544504334,1.28436831923965,1.77740464263688,2.02529373688255,2.27153693105188,2.75905415754725,3155.73479162583,1.0006964340639,"disprove"
"B_v[4,7]",1.63504777264707,0.00653404277155794,0.373089467641218,0.887817835190383,1.39129379953974,1.63543641186379,1.88192008163848,2.36671567703762,3260.33354227055,1.00078442879888,"dissuade"
"B_v[4,8]",3.63021881964346,0.00660714456971145,0.376888475897509,2.87751996454759,3.38259042804693,3.63092206236003,3.88086362855935,4.36320468326193,3253.85426175816,1.00103147026461,"doubt"
"B_v[4,9]",0.377162296663658,0.00661674492106249,0.373891066517362,-0.363418713349055,0.129384190867003,0.376773938496569,0.630516683266912,1.10299562305343,3193.01818341166,1.00092215063005,"fear"
"B_v[4,10]",-0.139822946403027,0.00667644324381974,0.373653945049185,-0.887434386219891,-0.386932987252627,-0.140517467668584,0.107539723313124,0.595392944648133,3132.19520916183,1.00091970319581,"hate"
"B_v[4,11]",-0.0100640556058131,0.00655081453920997,0.37196580483391,-0.749541974971096,-0.256807742844386,-0.00715235145743217,0.23662325657733,0.717041190979609,3224.15138130596,1.00078735990871,"hope"
"B_v[4,12]",-3.29234200746872,0.00653673737876844,0.373989639251352,-4.03946113280404,-3.53918720787974,-3.28950572894938,-3.04158831508921,-2.56891155833076,3273.38484887516,1.00084611114746,"know"
"B_v[4,13]",2.81830401512871,0.00662415096946742,0.37690048435715,2.07861734046981,2.56837380995583,2.81792095929387,3.06862108993569,3.56453719267328,3237.3745445703,1.00078231665995,"lie"
"B_v[4,14]",0.250570646715018,0.00667153685108341,0.37629228850617,-0.493807365120222,0.00375192234176044,0.250888543676398,0.499134964344704,0.988517058702673,3181.25775243383,1.00077956998437,"like"
"B_v[4,15]",-0.0885447349118378,0.00659291832745779,0.37145332373946,-0.82464736859996,-0.332345311150843,-0.0878788905996001,0.15657049152641,0.640414782413956,3174.33754580097,1.00086088023578,"love"
"B_v[4,16]",1.80976909345439,0.00656519075964447,0.375974670276169,1.06343116553757,1.56054660477385,1.80775043614399,2.06060541900346,2.54536593732531,3279.612062872,1.00080401584619,"mislead"
"B_v[4,17]",-0.667484949652856,0.0066203819985022,0.373726020192115,-1.40178497260121,-0.91458474788002,-0.667467484718587,-0.41799103075032,0.0631997191613611,3186.69555043467,1.00072082978736,"notify"
"B_v[4,18]",-1.54329683392535,0.00651878889952074,0.374572548515289,-2.28622072856033,-1.79115608692761,-1.54046177610453,-1.29682498518719,-0.810600952457405,3301.70340047658,1.00085652038352,"persuade"
"B_v[4,19]",0.388794251243532,0.00659968694816939,0.373526161168766,-0.349667694472151,0.140941324764223,0.387427270973065,0.639162353278849,1.12467074382905,3203.28350875264,1.00073388260786,"regret"
"B_v[4,20]",-2.18990989098388,0.00666451184419747,0.37345495978133,-2.94187501593492,-2.43522438013044,-2.18822920184842,-1.93818401774433,-1.4605527218749,3140.07321921302,1.00081793250605,"remember"
"B_v[4,21]",-0.399744714461775,0.00663958298246577,0.375091884495442,-1.14539280650624,-0.651276099265375,-0.397117453912967,-0.15012729446224,0.334886919585147,3191.49177397775,1.00120303716273,"tell"
"B_v[4,22]",-3.19577258660937,0.00650703273473255,0.371743369337486,-3.9471007955174,-3.43838546312595,-3.19387076322295,-2.94398232659556,-2.47615851607661,3263.77700849755,1.00080965291429,"think"
"B_v[4,23]",1.32423162130757,0.00665298669324425,0.378226367354234,0.576877019957604,1.07045158034907,1.32534647654712,1.57630969775974,2.07054003619206,3231.99212263701,1.00065898155398,"wish"
"B_v[4,24]",0.349379302062375,0.00663324466440636,0.374101856538645,-0.387266452803702,0.101069758618262,0.351016689606027,0.596627076161469,1.09239427425336,3180.73651181942,1.00058871768484,"worry"
