scenario,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
doctor:think,positive-past,-0.23349075991935198,0.0102527364422623,0.13459338119112899,0.263233482684393,0.5082268704972561,0.13615913617892614,0.18784053844556087
doctor:think,positive-future,-0.300729767709984,-0.0894841935135673,0.001131937109049963,0.09454844260496219,0.31302205439500597,0.0024566904723834966,0.15202683445965004
doctor:think,negative-past,-0.5798731239691464,-0.1957406927433626,-0.005341536744430997,0.18178443974273104,0.531303234618958,-0.009918216651643533,0.28250857379339805
doctor:think,negative-future,-0.561645321346175,-0.20051548757948795,-0.016608366807706,0.1689720627388513,0.5148157996900571,-0.017470290586575316,0.2740448964568671
driver:regret,positive-past,-0.134482963478278,0.10682514512366001,0.231530406823143,0.3543178504793821,0.598710600278236,0.23130201852273088,0.18490728524461308
driver:regret,positive-future,-0.35290451349360896,-0.10341403826476692,0.0013617298112529874,0.101788858131999,0.300940462948213,-0.0048272776845120725,0.16273504326570473
driver:regret,negative-past,-1.1373988590143131,-0.730861214864838,-0.519383094743936,-0.31123665240632403,0.09412859076323804,-0.5203741591772679,0.3129431184347106
driver:regret,negative-future,-0.915398459716859,-0.540745436994213,-0.3516194348830545,-0.1578893616309016,0.2159675809957246,-0.3507720590511787,0.2876970517312146
economist:mislead,positive-past,-0.790067336746648,-0.540257304688363,-0.41319992535424105,-0.28363307988580105,-0.0336031951976453,-0.4129374959660989,0.19252274336466746
economist:mislead,positive-future,-0.35349870758062796,-0.123415045638707,-0.024404864912553947,0.06701686844170696,0.274458827316421,-0.02964825433725768,0.1552843858972054
economist:mislead,negative-past,-0.6560720658069199,-0.26639392673553197,-0.06634628058188197,0.138435440560496,0.5305203122183408,-0.06483442804575913,0.3034304680727256
economist:mislead,negative-future,-0.7457943118999573,-0.38435169876110303,-0.1917968875484914,-0.000819551604845925,0.37897519567697807,-0.19061129298114565,0.2871254043051882
electrician:disprove,positive-past,0.297551895180919,0.533859911724702,0.6603979437932359,0.7872451471214609,1.02371151779081,0.6601078544824872,0.18735341324452506
