"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[4,5]",-0.54507829127724,0.00201973102929355,0.332961546273641,-1.19031100480006,-0.769278195610474,-0.547545741966061,-0.321672612830847,0.11678912324026,27176.9730815095,1.00000908570853,"baker-know"
"B_s[4,6]",-0.542621466598153,0.00198380780717194,0.332608982283581,-1.18653984902276,-0.768392822168802,-0.545598155493227,-0.320734493407696,0.11547064653819,28110.5120521042,0.999904796131168,"basketball player-hate"
"B_s[4,7]",-0.189572217949304,0.00181677863898424,0.318263095321161,-0.802423268100572,-0.404960258406842,-0.19214878765439,0.0240944117958183,0.44132438985325,30687.9964039741,0.999962876044176,"batter-worry"
"B_s[4,8]",-0.504855088188809,0.00203100882349483,0.331928150647289,-1.14769539323833,-0.728093956500649,-0.507089736921947,-0.284176401960724,0.150819242142397,26709.4258337369,1.00004488058774,"bookkeeper-lie"
"B_s[4,9]",0.51589649594825,0.00184992724738466,0.322721154820275,-0.126092679822825,0.299938831370466,0.519289961951779,0.734407427535625,1.14855227741013,30433.0564557827,0.999968972667272,"boss-tell"
"B_s[4,10]",-1.6482155045794,0.00200393180919969,0.333995462389729,-2.30235972294351,-1.87325731885158,-1.64778811266049,-1.42530174027278,-0.991491973280011,27778.9134772509,0.99988414969197,"bouncer-dissuade"
"B_s[4,11]",0.557628839260354,0.00187935032341405,0.337573148359024,-0.111258639219777,0.330824173635914,0.560927108939466,0.78652562875408,1.21158247814028,32264.155510595,0.999860259233252,"bricklayer-complain"
"B_s[4,12]",0.469855117696386,0.00181328723277054,0.321281531714017,-0.162238066633541,0.257409606025174,0.471940616712878,0.688864971756482,1.08739471968908,31393.3972660033,0.999870803191946,"businesswoman-boast"
"B_s[4,13]",1.44780371897438,0.00175432464405876,0.323617857529229,0.805386547916353,1.23041711846835,1.44986704015328,1.66567511168873,2.08613951876506,34028.6741637655,0.999931358563697,"chef-love"
"B_s[4,14]",0.88544204068592,0.00198378230137552,0.337673103138852,0.223028429397334,0.655770789757868,0.887148692095736,1.11597126437848,1.54071048940874,28973.7637904693,1.00005005717363,"chemist-lie"
"B_s[4,15]",-1.45976298096057,0.00188118273947229,0.336501616810303,-2.12154057517062,-1.67916903760949,-1.45958988291234,-1.23764808591315,-0.803375278574009,31997.2268207341,0.999927105444381,"child-apologize"
